ID_HECHOS_LESIONES,N_VICTIMAS,AAAA,FECHA,HORA,comuna,tipo_calle,geocodificacion_CABA,longitud,latutid,victima,acusado,participantes,gravedad
LC-2021-0024067,1,2021,2021-01-17 00:00:00,15.0,14,AVENIDA,Point (104189.233216467 103508.311113776),-58.417631824512,-34.597636347168,MOTO,AUTO,MOTO-AUTO,GRAVE
LC-2021-0024527,1,2021,2021-01-18 00:00:00,1.0,1,AVENIDA,Point (107438.101361197 102829.304178003),-58.382209281858,-34.603738980870,,,SD-SD,GRAVE
LC-2021-0026710,1,2021,2021-01-19 00:00:00,0.0,,,,,,PEATON,AUTO,PEATON-AUTO,GRAVE
LC-2021-0028138,1,2021,2021-01-19 00:00:00,0.0,,,,,,AUTO,OBJETO FIJO,AUTO-OBJETO FIJO,GRAVE
LC-2021-0028255,1,2021,2021-01-20 00:00:00,3.0,5,CALLE,Point (104094.933655822 102177.322585849),-58.418653471021,-34.609634814955,MOTO,CAMIONETA,MOTO-CAMIONETA,GRAVE
LC-2021-0029025,1,2021,2021-01-20 00:00:00,12.0,12,GRAL PAZ,Point (97575.8193794083 109300.005410273),-58.489709289621,-34.545432615088,MOTO,AUTO,MOTO-AUTO,GRAVE
LC-2021-0032262,1,2021,2021-01-22 00:00:00,0.0,,,,,,MOTO,CAMIONETA,MOTO-CAMIONETA,GRAVE
LC-2021-0033915,1,2021,2021-01-23 00:00:00,14.0,14,AVENIDA,Point (104392.115756794 105259.180385202),-58.415429095416,-34.581852400307,,,SD-SD,GRAVE
LC-2021-0034252,1,2021,2021-01-23 00:00:00,0.0,,,,,,MOTO,CICLISTA,MOTO-CICLISTA,GRAVE
LC-2021-0034628,1,2021,2021-01-24 00:00:00,6.0,4,AVENIDA,Point (107714.959037519 97803.0045191789),-58.379145567324,-34.649045935290,AUTO,OBJETO FIJO,AUTO-OBJETO FIJO,GRAVE
LC-2021-0034735,3,2021,2021-01-24 00:00:00,13.0,4,CALLE,Point (109576.154643157 98500.0417554654),-58.358851590655,-34.642746998891,MOTO,OBJETO FIJO,MOTO-OBJETO FIJO,GRAVE
LC-2021-0034980,1,2021,2021-01-24 00:00:00,0.0,,,,,,AUTO,AUTO,AUTO-AUTO,GRAVE
LC-2021-0036015,1,2021,2021-01-25 00:00:00,11.0,10,CALLE,Point (94638.5407240639 101274.622862062),-58.521760378621,-34.617765774712,MOTO,AUTO,MOTO-AUTO,GRAVE
LC-2021-0036486,1,2021,2021-01-25 00:00:00,0.0,,,,,,MOTO,OBJETO FIJO,MOTO-OBJETO FIJO,GRAVE
LC-2021-0036492,1,2021,2021-01-25 00:00:00,14.0,1,AVENIDA,Point (106609.862847996 100596.140969378),-58.391221501195,-34.623875235786,,,SD-SD,GRAVE
LC-2021-0038668,1,2021,2021-01-26 00:00:00,,,CALLE,,,,MOTO,AUTO,MOTO-AUTO,GRAVE
LC-2021-0040660,1,2021,2021-01-28 00:00:00,2.0,6,CALLE,Point (103023.745274808 102035.749127533),-58.430331925335,-34.610914673983,MOTO,AUTO,MOTO-AUTO,GRAVE
LC-2021-0041333,1,2021,2021-01-28 00:00:00,11.0,1,AVENIDA,Point (107502.313842472 102172.851734476),-58.381503476110,-34.609656049320,,,SD-SD,GRAVE
LC-2021-0041576,1,2021,2021-01-28 00:00:00,14.0,11,CALLE,Point (96905.3276865032 103074.524705597),-58.497036971779,-34.601550175993,MOTO,AUTO,MOTO-AUTO,GRAVE
LC-2021-0042464,1,2021,2021-01-29 00:00:00,8.0,9,AVENIDA,Point (97222.1915909453 95707.4684357145),-58.493607226660,-34.667960525134,PEATON,TRANSPORTE PUBLICO,PEATON-TRANSPORTE PUBLICO,GRAVE
LC-2021-0045648,2,2021,2021-02-01 00:00:00,4.0,12,GRAL PAZ,Point (96832.3326795394 108877.892405725),-58.497810742699,-34.549235695212,,,SD-SD,GRAVE
LC-2021-0045990,1,2021,2021-02-01 00:00:00,9.0,13,CALLE,Point (99505.2015821891 108788.895560235),-58.468690120520,-34.550042858774,MOTO,OBJETO FIJO,MOTO-OBJETO FIJO,GRAVE
LC-2021-0048337,1,2021,2021-02-02 00:00:00,16.0,1,CALLE,Point (107987.723959592 101960.702266104),-58.376209168212,-34.611564813500,PEATON,MOTO,PEATON-MOTO,GRAVE
LC-2021-0053241,1,2021,2021-02-05 00:00:00,13.0,6,AVENIDA,Point (100744.464298818 102633.192093588),-58.455183334176,-34.605533135471,MOTO,CAMION,MOTO-CAMION,GRAVE
LC-2021-0061453,2,2021,2021-02-10 00:00:00,13.0,14,AVENIDA,Point (102442.605391119 104712.415192167),-58.436675600269,-34.586787569032,MOTO,TRANSPORTE PUBLICO,MOTO-TRANSPORTE PUBLICO,GRAVE
LC-2021-0052196,1,2021,2021-02-11 00:00:00,0.0,,,,,,MOTO,CAMIONETA,MOTO-CAMIONETA,GRAVE
LC-2021-0065450,1,2021,2021-02-12 00:00:00,21.0,12,AVENIDA,Point (96312.9342326721 104681.070798744),-58.503488012339,-34.587066080300,MOTO,AUTO,MOTO-AUTO,GRAVE
LC-2021-0067436,1,2021,2021-02-14 00:00:00,0.0,,,,,,MOTO,MOTO,MOTO-MOTO,GRAVE
LC-2021-0069034,2,2021,2021-02-16 00:00:00,8.0,13,CALLE,Point (102290.15813878 109223.259626211),-58.438349102752,-34.546124999798,MOTO,,MOTO-SD,GRAVE
LC-2021-0072066,3,2021,2021-02-18 00:00:00,1.0,8,CALLE,Point (98703.4333546748 94475.0991730824),-58.477448204806,-34.679072523332,MOTO,TAXI,MOTO-TAXI,GRAVE
LC-2021-0072440,1,2021,2021-02-18 00:00:00,9.0,14,CALLE,Point (104106.55665534 103748.599324055),-58.418534247038,-34.595470614835,CICLISTA,CAMIONETA,CICLISTA-CAMIONETA,GRAVE
LC-2021-0075707,1,2021,2021-02-19 00:00:00,0.0,,,,,,MOTO,AUTO,MOTO-AUTO,GRAVE
LC-2021-0078164,1,2021,2021-02-21 00:00:00,0.0,,,,,,MOTO,AUTO,MOTO-AUTO,GRAVE
LC-2021-0079643,1,2021,2021-02-22 00:00:00,18.0,4,AVENIDA,Point (103358.147670969 97681.1005168196),-58.426668980220,-34.650168123595,MOTO,,MOTO-SD,GRAVE
LC-2021-0080890,2,2021,2021-02-23 00:00:00,9.0,15,AVENIDA,Point (96674.6123522601 103697.454733898),-58.499549690405,-34.595934083035,PEATON,MOTO,PEATON-MOTO,GRAVE
LC-2021-0081887,1,2021,2021-02-23 00:00:00,0.0,,,,,,CICLISTA,OBJETO FIJO,CICLISTA-OBJETO FIJO,GRAVE
LC-2021-0085572,1,2021,2021-02-25 00:00:00,0.0,,,,,,MOTO,AUTO,MOTO-AUTO,GRAVE
LC-2021-0089577,1,2021,2021-02-27 00:00:00,22.0,15,AVENIDA,Point (102738.619872116 104127.660670644),-58.433447250405,-34.592058075633,MOTO,MOTO,MOTO-MOTO,GRAVE
LC-2021-0089666,2,2021,2021-02-28 00:00:00,2.0,15,AVENIDA,Point (101034.990031654 102562.881523185),-58.452015865035,-34.606166708340,AUTO,TAXI,AUTO-TAXI,GRAVE
LC-2021-0095066,1,2021,2021-03-02 00:00:00,23.0,2,AVENIDA,Point (106419.990660195 103703.832861097),-58.393315301106,-34.595862425833,MOTO,AUTO,MOTO-AUTO,GRAVE
LC-2021-0095313,1,2021,2021-03-03 00:00:00,8.0,9,AVENIDA,Point (98475.4414313688 98665.1114730461),-58.479928209407,-34.641301998400,PEATON,MOTO,PEATON-MOTO,GRAVE
LC-2021-0098397,1,2021,2021-03-04 00:00:00,,,AVENIDA,,,,PEATON,AUTO,PEATON-AUTO,GRAVE
LC-2021-0100636,1,2021,2021-03-05 00:00:00,,,AVENIDA,,,,PEATON,AUTO,PEATON-AUTO,GRAVE
LC-2021-0102311,1,2021,2021-03-07 00:00:00,0.0,2,CALLE,Point (104740.569513192 103661.245712928),-58.411622426119,-34.596255360965,MOTO,AUTO,MOTO-AUTO,GRAVE
LC-2021-0103272,1,2021,2021-03-07 00:00:00,23.0,10,AVENIDA,Point (95566.1465618479 100552.699529591),-58.511649717275,-34.624277954758,CICLISTA,AUTO,CICLISTA-AUTO,GRAVE
LC-2021-0105468,1,2021,2021-03-08 00:00:00,21.0,12,GRAL PAZ,Point (95397.5216527931 105480.39028849),-58.513461488050,-34.579856911266,CICLISTA,AUTO,CICLISTA-AUTO,GRAVE
LC-2021-0107255,1,2021,2021-03-09 00:00:00,0.0,,,,,,MOTO,AUTO,MOTO-AUTO,GRAVE
LC-2021-0108616,1,2021,2021-03-10 00:00:00,12.0,8,AVENIDA,Point (98897.0880273163 94680.2518870959),-58.475334785095,-34.677223449634,PEATON,TRANSPORTE PUBLICO,PEATON-TRANSPORTE PUBLICO,GRAVE
LC-2021-0109063,1,2021,2021-03-10 00:00:00,14.0,9,CALLE,Point (94528.360470665 99138.8235511745),-58.522975690073,-34.637018103730,CICLISTA,,CICLISTA-SD,GRAVE
LC-2021-0110827,1,2021,2021-03-11 00:00:00,12.0,4,AVENIDA,Point (103358.147670969 97681.1005168196),-58.426668980220,-34.650168123595,MOTO,,MOTO-SD,GRAVE
LC-2021-0113394,1,2021,2021-03-12 00:00:00,13.0,7,AVENIDA,Point (101544.338579741 99458.5725651712),-58.446457320114,-34.634149578402,PEATON,,PEATON-SD,GRAVE
