ID_HECHOS_FATALES,ROL_VICTIMA,SEXO_VICTIMA,EDAD_VICTIMA,FECHA_FALLECIMIENTO
2016-0054,CONDUCTOR,MASCULINO,30,2016-04-25 00:00:00
2016-0055,PEATON,MASCULINO,79,2016-04-28 00:00:00
2016-0056,CONDUCTOR,MASCULINO,26,2016-04-26 00:00:00
2016-0058,PEATON,FEMENINO,57,2016-05-08 00:00:00
2016-0059,PEATON,MASCULINO,37,2016-05-26 00:00:00
2016-0064,PEATON,MASCULINO,20,SD
2016-0065,PEATON,MASCULINO,20,2016-05-20 00:00:00
2016-0067,PASAJERO_ACOMPAÑANTE,FEMENINO,30,SD
2016-0068,CONDUCTOR,MASCULINO,58,SD
2016-0069,CONDUCTOR,MASCULINO,30,2016-05-23 00:00:00
2016-0073,CONDUCTOR,MASCULINO,23,SD
2016-0074,CONDUCTOR,MASCULINO,60,SD
2016-0075,PEATON,MASCULINO,42,2016-06-12 00:00:00
2016-0076,PEATON,FEMENINO,53,2016-06-13 00:00:00
2016-0077,PEATON,FEMENINO,SD,SD
2016-0078,CONDUCTOR,MASCULINO,30,SD
2016-0079,CONDUCTOR,FEMENINO,51,SD
2016-0080,CONDUCTOR,MASCULINO,60,SD
2016-0081,CONDUCTOR,MASCULINO,40,SD
2016-0082,PEATON,MASCULINO,87,2016-07-05 00:00:00
2016-0083,PEATON,FEMENINO,76,2016-06-29 00:00:00
2016-0084,PEATON,MASCULINO,57,2016-07-08 00:00:00
2016-0085,SD,MASCULINO,SD,SD
2016-0086,PEATON,MASCULINO,75,2016-07-01 00:00:00
2016-0087,CONDUCTOR,MASCULINO,23,2016-07-03 00:00:00
2016-0088,PEATON,FEMENINO,70,2016-07-14 00:00:00
2016-0089,PEATON,MASCULINO,35,2016-07-14 00:00:00
2016-0090,PEATON,MASCULINO,60,2016-07-15 00:00:00
2016-0092,CONDUCTOR,MASCULINO,24,2016-07-15 00:00:00
2016-0093,CONDUCTOR,MASCULINO,35,2016-07-19 00:00:00
2016-0095,CONDUCTOR,MASCULINO,29,2016-07-23 00:00:00
2016-0096,CONDUCTOR,MASCULINO,SD,SD
2016-0097,PEATON,MASCULINO,80,2016-08-12 00:00:00
2016-0098,CONDUCTOR,FEMENINO,43,SD
2016-0099,CONDUCTOR,MASCULINO,45,SD
2016-0100,CONDUCTOR,MASCULINO,57,2016-08-03 00:00:00
2016-0101,SD,MASCULINO,67,SD
2016-0102,CONDUCTOR,MASCULINO,29,SD
2016-0104,CONDUCTOR,MASCULINO,21,2016-08-15 00:00:00
2016-0105,PEATON,MASCULINO,19,2016-08-26 00:00:00
2016-0106,PEATON,MASCULINO,38,SD
2016-0107,CONDUCTOR,MASCULINO,21,SD
2016-0109,CONDUCTOR,FEMENINO,53,2016-08-24 00:00:00
2016-0110,PEATON,MASCULINO,57,SD
2016-0111,CONDUCTOR,MASCULINO,27,2016-08-25 00:00:00
2016-0112,CONDUCTOR,MASCULINO,24,2016-08-27 00:00:00
2016-0113,PEATON,FEMENINO,60,SD
2016-0114,CICLISTA,FEMENINO,55,2016-08-31 00:00:00
2016-0115,SD,MASCULINO,SD,SD
2016-0116,CONDUCTOR,MASCULINO,30,2016-09-02 00:00:00
2016-0117,CONDUCTOR,MASCULINO,43,SD
2016-0118,CONDUCTOR,MASCULINO,27,2016-09-04 00:00:00
2016-0119,PASAJERO_ACOMPAÑANTE,FEMENINO,SD,SD
2016-0122,CICLISTA,MASCULINO,49,2016-09-13 00:00:00
2016-0123,CONDUCTOR,FEMENINO,58,SD
2016-0124,PEATON,MASCULINO,67,SD
2016-0125,CONDUCTOR,MASCULINO,30,SD
2016-0126,CONDUCTOR,MASCULINO,37,SD
2016-0126,PASAJERO_ACOMPAÑANTE,MASCULINO,60,SD
2016-0127,PEATON,MASCULINO,50,SD
2016-0128,PEATON,FEMENINO,81,2016-10-02 00:00:00
2016-0130,CONDUCTOR,MASCULINO,29,2016-10-04 00:00:00
2016-0131,PEATON,MASCULINO,35,SD
